[16/Feb/2016 20:51:41] DEBUG [django.db.backends:89] (0.002) QUERY = 'INSERT INTO "celery_taskmeta" ("task_id", "status", "result", "date_done", "traceback", "hidden", "meta") VALUES (%s, %s, %s, %s, %s, %s, %s)' - PARAMS = ('aebcf048-ae12-4b31-9c9d-9084a5220982', 'FAILURE', 'gAJ9cQAoWAsAAABleGNfbWVzc2FnZXEBWDcAAAAnVHdlZXRzU3RyZWFtTGlzdGVuZXInIG9iamVjdCBoYXMgbm8gYXR0cmlidXRlICdsb2dnZXIncQJYCAAAAGV4Y190eXBlcQNYDgAAAEF0dHJpYnV0ZUVycm9ycQR1Lg==', '2016-02-16 19:51:41.386720', 'Traceback (most recent call last):\n  File "c:\\users\\svens\\envs\\datacollection\\lib\\site-packages\\celery\\app\\trace.py", line 240, in trace_task\n    R = retval = fun(*args, **kwargs)\n  File "c:\\users\\svens\\envs\\datacollection\\lib\\site-packages\\celery\\app\\trace.py", line 438, in __protected_call__\n    return self.run(*args, **kwargs)\n  File "C:\\Users\\svens\\IdeaProjects\\datacollection\\twitter\\tasks.py", line 74, in start_tweets_by_name_streaming\n    my_listener = TweetsStreamListener(my_tweepy.api, task_id=task_id)\n  File "C:\\Users\\svens\\IdeaProjects\\datacollection\\twitter\\tweepy.py", line 386, in __init__\n    self.logger.debug = logging.getLogger(__name__)\nAttributeError: \'TweetsStreamListener\' object has no attribute \'logger\'\n', False, 'eJxrYKotZIjgYGBgSM7IzEkpSs0rZIwtZCrWAwBWnQb9'); args=['aebcf048-ae12-4b31-9c9d-9084a5220982', 'FAILURE', 'gAJ9cQAoWAsAAABleGNfbWVzc2FnZXEBWDcAAAAnVHdlZXRzU3RyZWFtTGlzdGVuZXInIG9iamVjdCBoYXMgbm8gYXR0cmlidXRlICdsb2dnZXIncQJYCAAAAGV4Y190eXBlcQNYDgAAAEF0dHJpYnV0ZUVycm9ycQR1Lg==', '2016-02-16 19:51:41.386720', 'Traceback (most recent call last):\n  File "c:\\users\\svens\\envs\\datacollection\\lib\\site-packages\\celery\\app\\trace.py", line 240, in trace_task\n    R = retval = fun(*args, **kwargs)\n  File "c:\\users\\svens\\envs\\datacollection\\lib\\site-packages\\celery\\app\\trace.py", line 438, in __protected_call__\n    return self.run(*args, **kwargs)\n  File "C:\\Users\\svens\\IdeaProjects\\datacollection\\twitter\\tasks.py", line 74, in start_tweets_by_name_streaming\n    my_listener = TweetsStreamListener(my_tweepy.api, task_id=task_id)\n  File "C:\\Users\\svens\\IdeaProjects\\datacollection\\twitter\\tweepy.py", line 386, in __init__\n    self.logger.debug = logging.getLogger(__name__)\nAttributeError: \'TweetsStreamListener\' object has no attribute \'logger\'\n', False, 'eJxrYKotZIjgYGBgSM7IzEkpSs0rZIwtZCrWAwBWnQb9']
[16/Feb/2016 20:51:41] DEBUG [django.db.backends:89] (0.000) QUERY = 'SELECT "twitter_twitterkeys"."id", "twitter_twitterkeys"."consumer_key", "twitter_twitterkeys"."consumer_secret", "twitter_twitterkeys"."access_token", "twitter_twitterkeys"."access_token_secret", "twitter_twitterkeys"."user_id" FROM "twitter_twitterkeys" WHERE "twitter_twitterkeys"."user_id" = %s' - PARAMS = (1,); args=(1,)
[16/Feb/2016 20:51:41] DEBUG [django.db.backends:89] (0.006) QUERY = 'SELECT "twitter_searchtask"."id", "twitter_searchtask"."user_id", "twitter_searchtask"."task" FROM "twitter_searchtask" WHERE "twitter_searchtask"."user_id" = %s' - PARAMS = (1,); args=(1,)
[16/Feb/2016 20:51:41] DEBUG [django.db.backends:89] (0.001) QUERY = 'SELECT "djcelery_taskstate"."id", "djcelery_taskstate"."state", "djcelery_taskstate"."task_id", "djcelery_taskstate"."name", "djcelery_taskstate"."tstamp", "djcelery_taskstate"."args", "djcelery_taskstate"."kwargs", "djcelery_taskstate"."eta", "djcelery_taskstate"."expires", "djcelery_taskstate"."result", "djcelery_taskstate"."traceback", "djcelery_taskstate"."runtime", "djcelery_taskstate"."retries", "djcelery_taskstate"."worker_id", "djcelery_taskstate"."hidden" FROM "djcelery_taskstate" WHERE "djcelery_taskstate"."task_id" = %s' - PARAMS = ('cb35b3cf-34b1-48c3-a414-974a32d1e2d3',); args=('cb35b3cf-34b1-48c3-a414-974a32d1e2d3',)
[16/Feb/2016 20:51:41] DEBUG [django.db.backends:89] (0.000) QUERY = 'SELECT "djcelery_taskstate"."id", "djcelery_taskstate"."state", "djcelery_taskstate"."task_id", "djcelery_taskstate"."name", "djcelery_taskstate"."tstamp", "djcelery_taskstate"."args", "djcelery_taskstate"."kwargs", "djcelery_taskstate"."eta", "djcelery_taskstate"."expires", "djcelery_taskstate"."result", "djcelery_taskstate"."traceback", "djcelery_taskstate"."runtime", "djcelery_taskstate"."retries", "djcelery_taskstate"."worker_id", "djcelery_taskstate"."hidden" FROM "djcelery_taskstate" WHERE "djcelery_taskstate"."task_id" = %s' - PARAMS = ('afec2bc3-78b6-4856-9a7d-d820fe1bd534',); args=('afec2bc3-78b6-4856-9a7d-d820fe1bd534',)
[16/Feb/2016 20:51:41] DEBUG [django.db.backends:89] (0.001) QUERY = 'SELECT "djcelery_taskstate"."id", "djcelery_taskstate"."state", "djcelery_taskstate"."task_id", "djcelery_taskstate"."name", "djcelery_taskstate"."tstamp", "djcelery_taskstate"."args", "djcelery_taskstate"."kwargs", "djcelery_taskstate"."eta", "djcelery_taskstate"."expires", "djcelery_taskstate"."result", "djcelery_taskstate"."traceback", "djcelery_taskstate"."runtime", "djcelery_taskstate"."retries", "djcelery_taskstate"."worker_id", "djcelery_taskstate"."hidden" FROM "djcelery_taskstate" WHERE "djcelery_taskstate"."task_id" = %s' - PARAMS = ('51ab02b6-7bda-41e0-a80b-23d76885fbfa',); args=('51ab02b6-7bda-41e0-a80b-23d76885fbfa',)
[16/Feb/2016 20:51:41] DEBUG [django.db.backends:89] (0.000) QUERY = 'SELECT "djcelery_taskstate"."id", "djcelery_taskstate"."state", "djcelery_taskstate"."task_id", "djcelery_taskstate"."name", "djcelery_taskstate"."tstamp", "djcelery_taskstate"."args", "djcelery_taskstate"."kwargs", "djcelery_taskstate"."eta", "djcelery_taskstate"."expires", "djcelery_taskstate"."result", "djcelery_taskstate"."traceback", "djcelery_taskstate"."runtime", "djcelery_taskstate"."retries", "djcelery_taskstate"."worker_id", "djcelery_taskstate"."hidden" FROM "djcelery_taskstate" WHERE "djcelery_taskstate"."task_id" = %s' - PARAMS = ('971f326a-63c8-479e-a691-5e2b97baa035',); args=('971f326a-63c8-479e-a691-5e2b97baa035',)
[16/Feb/2016 20:51:41] DEBUG [django.db.backends:89] (0.000) QUERY = 'SELECT "djcelery_taskstate"."id", "djcelery_taskstate"."state", "djcelery_taskstate"."task_id", "djcelery_taskstate"."name", "djcelery_taskstate"."tstamp", "djcelery_taskstate"."args", "djcelery_taskstate"."kwargs", "djcelery_taskstate"."eta", "djcelery_taskstate"."expires", "djcelery_taskstate"."result", "djcelery_taskstate"."traceback", "djcelery_taskstate"."runtime", "djcelery_taskstate"."retries", "djcelery_taskstate"."worker_id", "djcelery_taskstate"."hidden" FROM "djcelery_taskstate" WHERE "djcelery_taskstate"."task_id" = %s' - PARAMS = ('9a748b4b-2155-4a0a-be48-ebf02d9911c9',); args=('9a748b4b-2155-4a0a-be48-ebf02d9911c9',)
[16/Feb/2016 20:51:41] DEBUG [django.db.backends:89] (0.002) QUERY = 'SELECT "djcelery_taskstate"."id", "djcelery_taskstate"."state", "djcelery_taskstate"."task_id", "djcelery_taskstate"."name", "djcelery_taskstate"."tstamp", "djcelery_taskstate"."args", "djcelery_taskstate"."kwargs", "djcelery_taskstate"."eta", "djcelery_taskstate"."expires", "djcelery_taskstate"."result", "djcelery_taskstate"."traceback", "djcelery_taskstate"."runtime", "djcelery_taskstate"."retries", "djcelery_taskstate"."worker_id", "djcelery_taskstate"."hidden" FROM "djcelery_taskstate" WHERE "djcelery_taskstate"."task_id" = %s' - PARAMS = ('ec2bfc4f-ecfe-4279-963f-3f80448e7b20',); args=('ec2bfc4f-ecfe-4279-963f-3f80448e7b20',)
[16/Feb/2016 20:51:41] DEBUG [django.db.backends:89] (0.000) QUERY = 'SELECT "djcelery_taskstate"."id", "djcelery_taskstate"."state", "djcelery_taskstate"."task_id", "djcelery_taskstate"."name", "djcelery_taskstate"."tstamp", "djcelery_taskstate"."args", "djcelery_taskstate"."kwargs", "djcelery_taskstate"."eta", "djcelery_taskstate"."expires", "djcelery_taskstate"."result", "djcelery_taskstate"."traceback", "djcelery_taskstate"."runtime", "djcelery_taskstate"."retries", "djcelery_taskstate"."worker_id", "djcelery_taskstate"."hidden" FROM "djcelery_taskstate" WHERE "djcelery_taskstate"."task_id" = %s' - PARAMS = ('a0c6304e-dcbb-42cb-b159-4a11395abedf',); args=('a0c6304e-dcbb-42cb-b159-4a11395abedf',)
